index, start time, end time, latency (microsecond)
199, 1714494383.623409, 1714494383.646704, 23295
200, 1714494383.658682, 1714494383.679475, 20793
201, 1714494383.689897, 1714494383.708738, 18841
202, 1714494383.719717, 1714494383.742284, 22567
203, 1714494383.752517, 1714494383.770535, 18018
204, 1714494383.781549, 1714494383.802682, 21133
205, 1714494383.815176, 1714494383.834794, 19618
206, 1714494383.847188, 1714494383.866655, 19467
207, 1714494383.877340, 1714494383.896492, 19152
208, 1714494383.907586, 1714494383.928750, 21164
209, 1714494383.939491, 1714494383.959450, 19959
210, 1714494383.969838, 1714494383.987238, 17400
211, 1714494383.999445, 1714494384.21445, 22000
212, 1714494384.32489, 1714494384.52795, 20306
213, 1714494384.63858, 1714494384.84084, 20226
214, 1714494384.95130, 1714494384.115699, 20569
215, 1714494384.127508, 1714494384.147385, 19877
216, 1714494384.157809, 1714494384.179730, 21921
217, 1714494384.191641, 1714494384.217494, 25853
218, 1714494384.227728, 1714494384.243793, 16065
219, 1714494384.256492, 1714494384.275076, 18584
220, 1714494384.286236, 1714494384.309097, 22861
221, 1714494384.319958, 1714494384.336133, 16175
222, 1714494384.347236, 1714494384.363703, 16467
223, 1714494384.374666, 1714494384.391710, 17044
224, 1714494384.402555, 1714494384.417993, 15438
225, 1714494384.429923, 1714494384.445871, 15948
226, 1714494384.458068, 1714494384.473654, 15586
227, 1714494384.484747, 1714494384.504198, 19451
228, 1714494384.516035, 1714494384.535504, 19469
229, 1714494384.545775, 1714494384.581462, 35687
230, 1714494384.592780, 1714494384.615187, 22407
231, 1714494384.626018, 1714494384.649645, 23627
232, 1714494384.662094, 1714494384.685211, 23117
233, 1714494384.696055, 1714494384.715407, 19352
234, 1714494384.726864, 1714494384.743154, 16290
235, 1714494384.754072, 1714494384.769504, 15432
236, 1714494384.781160, 1714494384.797562, 16402
237, 1714494384.808657, 1714494384.828361, 19704
238, 1714494384.839489, 1714494384.856296, 16807
239, 1714494384.866555, 1714494384.883158, 16603
240, 1714494384.894298, 1714494384.914648, 20350
241, 1714494384.926846, 1714494384.946312, 19466
242, 1714494384.956848, 1714494384.975201, 18353
243, 1714494384.986637, 1714494385.7911, 21274
244, 1714494385.18270, 1714494385.71141, 52871
245, 1714494385.82212, 1714494385.152250, 70038
246, 1714494385.162902, 1714494385.262910, 100008
247, 1714494385.275038, 1714494385.319164, 44126
248, 1714494385.329519, 1714494385.352705, 23186
249, 1714494385.363427, 1714494385.390655, 27228
250, 1714494385.402847, 1714494385.428403, 25556
251, 1714494385.438982, 1714494385.469582, 30600
252, 1714494385.480504, 1714494385.503696, 23192
253, 1714494385.515375, 1714494385.535055, 19680
254, 1714494385.545633, 1714494385.565203, 19570
255, 1714494385.576205, 1714494385.596800, 20595
256, 1714494385.608745, 1714494385.626298, 17553
257, 1714494385.637662, 1714494385.661828, 24166
258, 1714494385.672381, 1714494385.696126, 23745
259, 1714494385.708141, 1714494385.731877, 23736
260, 1714494385.742278, 1714494385.764550, 22272
261, 1714494385.776209, 1714494385.797664, 21455
262, 1714494385.809061, 1714494385.831884, 22823
263, 1714494385.843621, 1714494385.862694, 19073
