index, start time, end time, latency (microsecond)
160, 1714495467.124780, 1714495467.155599, 30819
161, 1714495467.166266, 1714495467.201207, 34941
162, 1714495467.211515, 1714495467.236991, 25476
163, 1714495467.249423, 1714495467.270534, 21111
164, 1714495467.280764, 1714495467.297242, 16478
165, 1714495467.309540, 1714495467.330003, 20463
166, 1714495467.340232, 1714495467.364412, 24180
167, 1714495467.374677, 1714495467.395038, 20361
168, 1714495467.405693, 1714495467.428544, 22851
169, 1714495467.439409, 1714495467.459418, 20009
170, 1714495467.470376, 1714495467.488877, 18501
171, 1714495467.500942, 1714495467.584024, 83082
172, 1714495467.595108, 1714495467.616401, 21293
173, 1714495467.627325, 1714495467.665479, 38154
174, 1714495467.675762, 1714495467.701057, 25295
175, 1714495467.711731, 1714495467.733122, 21391
176, 1714495467.743415, 1714495467.761781, 18366
177, 1714495467.772028, 1714495467.789925, 17897
178, 1714495467.800162, 1714495467.816401, 16239
179, 1714495467.826784, 1714495467.847833, 21049
180, 1714495467.858023, 1714495467.869307, 11284
181, 1714495467.879511, 1714495467.889879, 10368
182, 1714495467.900079, 1714495467.911581, 11502
183, 1714495467.921774, 1714495467.933989, 12215
184, 1714495467.944284, 1714495467.957152, 12868
185, 1714495467.967321, 1714495467.979442, 12121
186, 1714495467.989582, 1714495468.1116, 11534
187, 1714495468.12819, 1714495468.59979, 47160
188, 1714495468.71341, 1714495468.101270, 29929
189, 1714495468.111501, 1714495468.124849, 13348
190, 1714495468.135032, 1714495468.145283, 10251
191, 1714495468.155507, 1714495468.167745, 12238
192, 1714495468.178590, 1714495468.189271, 10681
193, 1714495468.200324, 1714495468.223308, 22984
194, 1714495468.233528, 1714495468.251678, 18150
195, 1714495468.261866, 1714495468.272424, 10558
196, 1714495468.282536, 1714495468.292155, 9619
197, 1714495468.303075, 1714495468.314021, 10946
198, 1714495468.324241, 1714495468.335265, 11024
199, 1714495468.345472, 1714495468.356756, 11284
200, 1714495468.366933, 1714495468.379333, 12400
201, 1714495468.389569, 1714495468.401186, 11617
202, 1714495468.412187, 1714495468.422941, 10754
203, 1714495468.433145, 1714495468.445198, 12053
204, 1714495468.455398, 1714495468.468560, 13162
205, 1714495468.478776, 1714495468.490209, 11433
206, 1714495468.500855, 1714495468.513412, 12557
207, 1714495468.523675, 1714495468.534254, 10579
208, 1714495468.544541, 1714495468.557189, 12648
209, 1714495468.567455, 1714495468.579854, 12399
210, 1714495468.590055, 1714495468.602286, 12231
211, 1714495468.612479, 1714495468.624193, 11714
212, 1714495468.635087, 1714495468.649581, 14494
213, 1714495468.660128, 1714495468.672528, 12400
214, 1714495468.683819, 1714495468.698610, 14791
215, 1714495468.709992, 1714495468.724943, 14951
216, 1714495468.737743, 1714495468.752527, 14784
217, 1714495468.763648, 1714495468.777784, 14136
218, 1714495468.790792, 1714495468.805564, 14772
219, 1714495468.816949, 1714495468.833022, 16073
220, 1714495468.844091, 1714495468.862139, 18048
221, 1714495468.872905, 1714495468.887553, 14648
222, 1714495468.899032, 1714495468.915859, 16827
223, 1714495468.926732, 1714495468.945568, 18836
224, 1714495468.956328, 1714495468.967804, 11476
225, 1714495468.978656, 1714495468.991921, 13265
226, 1714495469.3064, 1714495469.15795, 12731
227, 1714495469.28400, 1714495469.41681, 13281
228, 1714495469.53781, 1714495469.67946, 14165
229, 1714495469.78808, 1714495469.93718, 14910
230, 1714495469.104702, 1714495469.120636, 15934
231, 1714495469.131930, 1714495469.146053, 14123
232, 1714495469.158423, 1714495469.174846, 16423
233, 1714495469.185962, 1714495469.205453, 19491
234, 1714495469.216792, 1714495469.231192, 14400
235, 1714495469.243481, 1714495469.262013, 18532
236, 1714495469.272921, 1714495469.286858, 13937
237, 1714495469.299233, 1714495469.317317, 18084
238, 1714495469.328510, 1714495469.346355, 17845
239, 1714495469.357667, 1714495469.373167, 15500
240, 1714495469.384304, 1714495469.400248, 15944
241, 1714495469.412440, 1714495469.428818, 16378
242, 1714495469.440806, 1714495469.453707, 12901
243, 1714495469.464412, 1714495469.477630, 13218
244, 1714495469.488753, 1714495469.504477, 15724
245, 1714495469.516591, 1714495469.532986, 16395
246, 1714495469.545177, 1714495469.560799, 15622
247, 1714495469.573088, 1714495469.593206, 20118
248, 1714495469.605503, 1714495469.621474, 15971
249, 1714495469.632835, 1714495469.649359, 16524
250, 1714495469.660273, 1714495469.677942, 17669
251, 1714495469.688854, 1714495469.706598, 17744
252, 1714495469.717853, 1714495469.733142, 15289
253, 1714495469.745409, 1714495469.762002, 16593
254, 1714495469.774396, 1714495469.790801, 16405
255, 1714495469.802186, 1714495469.818647, 16461
256, 1714495469.829806, 1714495469.846912, 17106
257, 1714495469.857944, 1714495469.876494, 18550
258, 1714495469.886647, 1714495469.899125, 12478
259, 1714495469.911275, 1714495469.925929, 14654
260, 1714495469.937374, 1714495469.952294, 14920
261, 1714495469.964413, 1714495469.980124, 15711
262, 1714495469.991987, 1714495470.9635, 17648
263, 1714495470.20982, 1714495470.36625, 15643
264, 1714495470.47015, 1714495470.64057, 17042
265, 1714495470.75308, 1714495470.90652, 15344
266, 1714495470.101661, 1714495470.116233, 14572
267, 1714495470.128251, 1714495470.141573, 13322
268, 1714495470.152730, 1714495470.168029, 15299
269, 1714495470.178967, 1714495470.192798, 13831
270, 1714495470.205068, 1714495470.219982, 14914
271, 1714495470.232625, 1714495470.247463, 14838
272, 1714495470.258220, 1714495470.272620, 14400
273, 1714495470.282995, 1714495470.297280, 14285
274, 1714495470.309164, 1714495470.323395, 14231
275, 1714495470.334799, 1714495470.350118, 15319
276, 1714495470.362869, 1714495470.377985, 15116
277, 1714495470.388696, 1714495470.404746, 16050
278, 1714495470.415831, 1714495470.431352, 15521
279, 1714495470.442268, 1714495470.455488, 13220
280, 1714495470.466217, 1714495470.481360, 15143
281, 1714495470.492174, 1714495470.506812, 14638
282, 1714495470.519332, 1714495470.534549, 15217
283, 1714495470.545720, 1714495470.560506, 14786
284, 1714495470.571624, 1714495470.587327, 15703
285, 1714495470.599950, 1714495470.614951, 15001
286, 1714495470.626787, 1714495470.641761, 14974
287, 1714495470.652350, 1714495470.664671, 12321
288, 1714495470.674895, 1714495470.691095, 16200
289, 1714495470.701600, 1714495470.716506, 14906
290, 1714495470.727342, 1714495470.749045, 21703
291, 1714495470.761201, 1714495470.774914, 13713
292, 1714495470.787057, 1714495470.808691, 21634
293, 1714495470.819883, 1714495470.841364, 21481
294, 1714495470.853565, 1714495470.865241, 11676
295, 1714495470.875436, 1714495470.886348, 10912
296, 1714495470.896903, 1714495470.909248, 12345
297, 1714495470.920347, 1714495470.933427, 13080
298, 1714495470.944183, 1714495470.954718, 10535
299, 1714495470.967722, 1714495470.980559, 12837
300, 1714495470.991292, 1714495471.5712, 14420
301, 1714495471.16973, 1714495471.32523, 15550
302, 1714495471.43578, 1714495471.58571, 14993
303, 1714495471.69148, 1714495471.82913, 13765
304, 1714495471.93862, 1714495471.109534, 15672
305, 1714495471.120350, 1714495471.134570, 14220
306, 1714495471.145689, 1714495471.162267, 16578
307, 1714495471.174808, 1714495471.191501, 16693
308, 1714495471.202975, 1714495471.220758, 17783
309, 1714495471.231818, 1714495471.248004, 16186
310, 1714495471.260555, 1714495471.275614, 15059
311, 1714495471.286667, 1714495471.300289, 13622
312, 1714495471.312451, 1714495471.328861, 16410
313, 1714495471.340502, 1714495471.356422, 15920
314, 1714495471.367736, 1714495471.384041, 16305
315, 1714495471.395275, 1714495471.412212, 16937
316, 1714495471.424288, 1714495471.438616, 14328
317, 1714495471.449652, 1714495471.464453, 14801
318, 1714495471.475899, 1714495471.490857, 14958
319, 1714495471.502911, 1714495471.517962, 15051
320, 1714495471.530315, 1714495471.547752, 17437
321, 1714495471.560160, 1714495471.574584, 14424
322, 1714495471.585722, 1714495471.600080, 14358
323, 1714495471.612484, 1714495471.630131, 17647
324, 1714495471.642227, 1714495471.659042, 16815
325, 1714495471.671197, 1714495471.686588, 15391
326, 1714495471.697448, 1714495471.713172, 15724
327, 1714495471.724253, 1714495471.737922, 13669
328, 1714495471.750631, 1714495471.767181, 16550
329, 1714495471.778273, 1714495471.796436, 18163
330, 1714495471.807559, 1714495471.824685, 17126
331, 1714495471.835666, 1714495471.850769, 15103
332, 1714495471.862007, 1714495471.878635, 16628
333, 1714495471.889720, 1714495471.904367, 14647
334, 1714495471.915138, 1714495471.931198, 16060
335, 1714495471.943433, 1714495471.954770, 11337
336, 1714495471.966676, 1714495471.979467, 12791
337, 1714495471.990530, 1714495472.1871, 11341
338, 1714495472.12711, 1714495472.24449, 11738
339, 1714495472.35546, 1714495472.46231, 10685
340, 1714495472.57890, 1714495472.69181, 11291
341, 1714495472.79884, 1714495472.95285, 15401
342, 1714495472.107150, 1714495472.123032, 15882
343, 1714495472.135146, 1714495472.151077, 15931
344, 1714495472.162878, 1714495472.178580, 15702
345, 1714495472.189655, 1714495472.207561, 17906
346, 1714495472.219507, 1714495472.235285, 15778
347, 1714495472.246394, 1714495472.260384, 13990
348, 1714495472.271329, 1714495472.285620, 14291
349, 1714495472.296392, 1714495472.310178, 13786
350, 1714495472.322448, 1714495472.338346, 15898
351, 1714495472.349667, 1714495472.368014, 18347
352, 1714495472.378851, 1714495472.390585, 11734
353, 1714495472.401699, 1714495472.420651, 18952
354, 1714495472.431494, 1714495472.446565, 15071
355, 1714495472.457570, 1714495472.472732, 15162
356, 1714495472.483068, 1714495472.497142, 14074
357, 1714495472.509759, 1714495472.527485, 17726
358, 1714495472.538578, 1714495472.555129, 16551
359, 1714495472.567306, 1714495472.582198, 14892
360, 1714495472.593489, 1714495472.607926, 14437
361, 1714495472.620267, 1714495472.641091, 20824
362, 1714495472.651902, 1714495472.666635, 14733
363, 1714495472.679107, 1714495472.692709, 13602
364, 1714495472.704057, 1714495472.720585, 16528
365, 1714495472.731291, 1714495472.746238, 14947
366, 1714495472.757137, 1714495472.778651, 21514
367, 1714495472.790666, 1714495472.808213, 17547
368, 1714495472.819373, 1714495472.834916, 15543
369, 1714495472.847603, 1714495472.862839, 15236
370, 1714495472.874220, 1714495472.892677, 18457
371, 1714495472.905336, 1714495472.921261, 15925
372, 1714495472.933299, 1714495472.951557, 18258
373, 1714495472.962529, 1714495472.979070, 16541
374, 1714495472.990172, 1714495473.6826, 16654
375, 1714495473.18265, 1714495473.34289, 16024
376, 1714495473.45222, 1714495473.61283, 16061
377, 1714495473.72260, 1714495473.88349, 16089
378, 1714495473.98876, 1714495473.113499, 14623
379, 1714495473.124781, 1714495473.140113, 15332
380, 1714495473.153018, 1714495473.167503, 14485
381, 1714495473.179026, 1714495473.198235, 19209
382, 1714495473.210062, 1714495473.225508, 15446
383, 1714495473.236452, 1714495473.252970, 16518
384, 1714495473.265475, 1714495473.276490, 11015
385, 1714495473.286938, 1714495473.304249, 17311
386, 1714495473.316483, 1714495473.334793, 18310
387, 1714495473.346072, 1714495473.362702, 16630
388, 1714495473.373631, 1714495473.390160, 16529
389, 1714495473.400931, 1714495473.415923, 14992
390, 1714495473.428492, 1714495473.442829, 14337
391, 1714495473.454916, 1714495473.470580, 15664
392, 1714495473.480967, 1714495473.499018, 18051
393, 1714495473.510265, 1714495473.524618, 14353
394, 1714495473.535989, 1714495473.550281, 14292
395, 1714495473.562732, 1714495473.578269, 15537
396, 1714495473.589633, 1714495473.606008, 16375
