iat,len,diffLen,class
4301000,52,65535,3
394000,102,65585,3
1257000,52,65485,3
178070000,52,65535,3
83913000,648,66131,3
161485000,93,64980,3
607000,95,65537,3
67746000,52,65492,3
168000,52,65535,3
4386537000,88,65571,3
117057000,52,65499,3
164680000,64,65547,3
152199000,75,65546,3
11987000,52,65512,3
835798000,474,65957,3
72547000,141,65202,3
2144000,151,65545,3
83220000,99,65483,3
1591000,104,65540,3
70534000,92,65523,3
1603000,52,65495,3
112585000,52,65535,3
4862000,120,65603,3
1638000,52,65467,3
5721000,97,65580,3
186157000,52,65490,3
6710354000,157,65640,3
154982000,102,65480,3
3665000,52,65485,3
1731727000,64,65547,3
167112000,73,65544,3
3973000,88,65550,3
23459000,52,65499,3
198000,52,65535,3
283664000,73,65556,3
68643000,52,65514,3
28078157000,88,65571,3
84276000,52,65499,3
5968752000,64,65547,3
153090000,75,65546,3
124762000,52,65512,3
6925123000,64,65547,3
156931000,73,65544,3
1249000,88,65550,3
83581000,52,65499,3
266000,52,65535,3
7271741000,52,65535,3
154477000,52,65535,3
78000,52,65535,3
49396000,52,65535,3
209000,52,65535,3
3053000,40,65515,3
132000,40,65535,3
1891000,103,65598,3
169000,40,65472,3
397016000,1400,66895,3
50911000,40,64175,3
1122000,2619,68114,3
51023000,40,62956,3
383000,366,65861,3
972000,40,65209,3
209850000,99,65594,3
51001000,576,66012,3
846000,40,64999,3
442000,74,65569,3
533000,40,65501,3
979869000,1400,66895,3
51093000,40,64175,3
1487000,8157,73652,3
52013000,40,57418,3
42056000,1400,66895,3
51776000,40,64175,3
1295000,8887,74382,3
52569000,40,56688,3
66494000,173,65668,3
51053000,40,65402,3
97298000,1400,66895,3
50541000,40,64175,3
890000,6717,72212,3
50486000,40,58858,3
46251000,1400,66895,3
50376000,40,64175,3
1137000,2760,68255,3
50288000,40,62815,3
49797000,1400,66895,3
50288000,40,64175,3
216000,2199,67694,3
50517000,40,63376,3
14489000,222,65705,3
142628000,52,65365,3
60733000,137,65620,3
1797000,52,65450,3
17710000,190,65673,3
142629000,52,65397,3
117859000,137,65620,3
14608000,52,65450,3
13341000,174,65657,3
147312000,52,65413,3
53144000,137,65620,3
1709000,52,65450,3
9784000,158,65641,3
144028000,52,65429,3
55005000,137,65620,3
1764000,52,65450,3
3598000,40,65515,3
309000,40,65535,3
4820000,103,65598,3
284000,40,65472,3
469257000,1400,66895,3
50301000,40,64175,3
628000,2619,68114,3
51031000,40,62956,3
167000,366,65861,3
167000,40,65209,3
237786000,99,65594,3
50753000,576,66012,3
126000,40,64999,3
71000,538,66033,3
96000,40,65037,3
333055000,1400,66895,3
50965000,40,64175,3
1321000,8434,73929,3
52660000,40,57141,3
54827000,2760,68255,3
51704000,40,62815,3
1802000,7105,72600,3
1140000,40,58470,3
581000,40,65535,3
64665000,40,65535,3
75158000,56,65527,3
66000,52,65531,3
28759000,146,65629,3
82384000,1492,66881,3
161000,72,64115,3
35000,52,65515,3
77146000,1492,66975,3
227000,850,64893,3
42000,52,64737,3
12662000,159,65642,3
288164000,52,65428,3
48000,111,65594,3
83371000,111,65535,3
109000,52,65476,3
324000,281,65764,3
86221000,233,65487,3
106000,52,65354,3
3080000,681,66164,3
93347000,233,65087,3
74000,52,65354,3
270000,249,65732,3
253522000,745,66031,3
5000,265,65055,3
105000,52,65322,3
1000,52,65535,3
362000,617,66100,3
86716000,153,65071,3
104000,1369,66751,3
115669000,1492,65658,3
3000,57,64100,3
73000,52,65530,3
2099000,585,66068,3
2362000,1492,66442,3
1000,1492,65535,3
0,1492,65535,3
1000,1492,65535,3
82585000,153,64196,3
107000,1492,66874,3
24050000,52,64095,3
161000,1492,66975,3
1000,1492,65535,3
1000,1492,65535,3
1000,1492,65535,3
24135000,52,64095,3
76000,1492,66975,3
1000,1492,65535,3
0,1492,65535,3
2000,1492,65535,3
66583000,52,64095,3
58000,1492,66975,3
1000,984,65027,3
9144000,153,64704,3
68000,52,65434,3
17427000,52,65535,3
24559000,52,65535,3
27008000,52,65535,3
25553000,52,65535,3
11608000,153,65636,3
83000,52,65434,3
84000,153,65636,3
32000,52,65434,3
3346000,1492,66975,3
4000,72,64115,3
59000,52,65515,3
2993000,1333,66816,3
145000,52,64254,3
2239000,793,66276,3
770000,1492,66234,3
1000,771,64814,3
94433000,52,64816,3
66369000,841,66324,3
110000,52,64746,3
202844000,1097,66580,3
7000,153,64591,3
87000,473,65855,3
41000,52,65114,3
0,52,65535,3
53000,52,65535,3
373000,425,65908,3
128000,52,65162,3
895000,633,66116,3
92308000,153,65055,3
119000,52,65434,3
1294000,1289,66772,3
67000,52,64298,3
1060000,1492,66975,3
5000,72,64115,3
0,597,66060,3
98000,52,64990,3
0,52,65535,3
2282000,1369,66852,3
90000,52,64218,3
1096000,1369,66852,3
66000,52,64218,3
68986000,953,66436,3
73000,52,64634,3
2096000,1492,66975,3
4000,72,64115,3
123000,341,65804,3
18000,52,65246,3
85000,52,65535,3
1217000,1225,66708,3
70000,52,64362,3
296000,937,66420,3
42000,52,64650,3
2427000,1492,66975,3
5000,72,64115,3
72000,52,65515,3
69113000,341,65824,3
116000,52,65246,3
4707000,1492,66975,3
4000,72,64115,3
1000,133,65596,3
104000,52,65454,3
0,52,65535,3
1883000,1492,66975,3
255000,72,64115,3
3000,197,65660,3
59000,52,65390,3
1000,52,65535,3
451000,937,66420,3
42000,52,64650,3
1248000,921,66404,3
73000,52,64666,3
68886000,953,66436,3
68000,52,64634,3
4227000,1492,66975,3
4000,72,64115,3
1000,341,65804,3
118000,52,65246,3
1000,52,65535,3
3087000,1353,66836,3
75000,52,64234,3
1306000,1385,66868,3
4000,921,65071,3
94000,52,64666,3
1000,52,65535,3
67439000,937,66420,3
66000,52,64650,3
5933000,1492,66975,3
25000,72,64115,3
102000,52,65515,3
294000,1205,66688,3
50000,52,64382,3
2749000,1492,66975,3
456000,72,64115,3
3000,53,65516,3
99000,52,65534,3
1000,52,65535,3
1128000,1492,66975,3
5000,72,64115,3
97000,52,65515,3
64064000,245,65728,3
95000,52,65342,3
7141000,953,66436,3
112000,52,64634,3
1294000,953,66436,3
66000,52,64634,3
528000,1369,66852,3
50000,52,64218,3
1657000,937,66420,3
4000,937,65535,3
110000,52,64650,3
60000,52,65535,3
65585000,937,66420,3
100000,52,64650,3
8144000,1033,66516,3
67000,52,64554,3
1793000,1492,66975,3
4000,72,64115,3
90000,52,65515,3
1370000,1492,66975,3
4000,72,64115,3
95000,52,65515,3
457000,433,65916,3
70000,52,65154,3
1725000,1492,66975,3
4000,72,64115,3
68000,52,65515,3
64328000,469,65952,3
100000,52,65118,3
7486000,921,66404,3
66000,52,64666,3
2311000,937,66420,3
75000,52,64650,3
1594000,1492,66975,3
4000,72,64115,3
1000,629,66092,3
99000,52,64958,3
1000,52,65535,3
1912000,1492,66975,3
4000,72,64115,3
1000,757,66220,3
113000,52,64830,3
